year,month,gov_gop,sen_gop,rep_gop,gov_dem,sen_dem,rep_dem,president,close,unemployment_rate
1981,June,24,53,196,27,46,246,gop,131.210007,7.5
1981,July,24,53,196,27,46,246,gop,130.919998,7.2
1981,August,24,53,196,27,46,246,gop,122.790001,7.4
1981,September,24,53,196,27,46,246,gop,116.18,7.6
1981,October,24,53,196,27,46,246,gop,121.889999,7.9
1981,November,24,53,196,27,46,246,gop,126.349998,8.3
1981,December,24,53,196,27,46,246,gop,122.550003,8.5
1982,January,24,54,196,27,47,246,gop,120.400002,8.6
1982,February,24,54,196,27,47,246,gop,113.110001,8.9
1982,March,24,54,196,27,47,246,gop,111.959999,9
1982,April,24,54,196,27,47,246,gop,116.440002,9.3
1982,May,24,54,196,27,47,246,gop,111.879997,9.4
1982,June,24,54,196,27,47,246,gop,109.610001,9.6
1982,July,24,54,196,27,47,246,gop,107.089996,9.8
1982,August,24,54,196,27,47,246,gop,119.510002,9.8
1982,September,24,54,196,27,47,246,gop,120.419998,10.1
1982,October,24,54,196,27,47,246,gop,133.720001,10.4
1982,November,24,54,196,27,47,246,gop,138.529999,10.8
1982,December,24,54,196,27,47,246,gop,140.639999,10.8
1983,January,16,55,168,34,46,272,gop,145.300003,10.4
1983,February,16,55,168,34,46,272,gop,148.059998,10.4
1983,March,16,55,168,34,46,272,gop,152.960007,10.3
1983,April,16,55,168,34,46,271,gop,164.429993,10.2
1983,May,16,55,168,34,46,271,gop,162.389999,10.1
1983,June,16,55,168,34,46,271,gop,167.639999,10.1
1983,July,16,55,168,34,46,272,gop,162.559998,9.4
1983,August,16,55,168,34,46,272,gop,164.399994,9.5
1983,September,16,55,168,34,46,272,gop,166.070007,9.2
1983,October,16,55,168,34,46,272,gop,163.550003,8.8
1983,November,16,55,168,34,46,272,gop,166.399994,8.5
1983,December,16,55,168,34,46,272,gop,164.929993,8.3
1984,January,16,55,168,34,45,271,gop,163.410004,8
1984,February,16,55,168,34,45,271,gop,157.059998,7.8
1984,March,15,55,168,34,45,271,gop,159.179993,7.8
1984,April,15,55,168,34,45,271,gop,160.050003,7.7
1984,May,15,55,168,35,45,271,gop,150.550003,7.4
1984,June,15,55,168,35,45,271,gop,153.179993,7.2
1984,July,15,55,168,35,45,271,gop,150.660004,7.5
1984,August,15,55,168,35,45,271,gop,166.679993,7.5
1984,September,15,55,168,35,45,271,gop,166.100006,7.3
1984,October,15,55,168,35,45,271,gop,166.089996,7.4
1984,November,15,55,168,35,45,271,gop,163.580002,7.2
1984,December,15,55,168,35,45,271,gop,167.240005,7.3
1985,January,16,53,183,34,47,257,gop,179.630005,7.3
1985,February,16,53,183,34,47,257,gop,181.179993,7.2
1985,March,16,53,183,34,47,257,gop,180.660004,7.2
1985,April,16,53,183,34,47,257,gop,179.830002,7.3
1985,May,16,53,183,34,47,257,gop,189.550003,7.2
1985,June,16,53,183,34,47,257,gop,191.850006,7.4
1985,July,16,53,183,34,47,257,gop,190.919998,7.4
1985,August,16,53,183,34,47,257,gop,188.630005,7.1
1985,September,16,53,183,34,47,257,gop,182.080002,7.1
1985,October,16,53,183,34,47,257,gop,189.820007,7.1
1985,November,16,53,183,34,47,257,gop,202.169998,7
1985,December,16,53,183,34,47,257,gop,211.279999,7
1986,January,16,53,183,34,48,257,gop,211.779999,6.7
1986,February,16,53,183,34,48,257,gop,226.919998,7.2
1986,March,16,53,183,34,48,257,gop,238.899994,7.2
1986,April,16,53,183,34,48,257,gop,235.520004,7.1
1986,May,16,53,183,34,48,257,gop,247.350006,7.2
1986,June,16,53,183,34,48,257,gop,250.839996,7.2
1986,July,16,54,183,34,48,257,gop,236.119995,7
1986,August,16,54,183,34,48,257,gop,252.929993,6.9
1986,September,16,54,183,34,48,257,gop,231.320007,7
1986,October,16,54,183,34,48,257,gop,243.979996,7
1986,November,16,54,183,34,48,257,gop,249.220001,6.9
1986,December,16,54,183,34,48,257,gop,242.169998,6.6
1987,January,24,46,179,27,55,262,gop,274.079987,6.6
1987,February,24,46,179,27,55,262,gop,284.200012,6.6
1987,March,24,46,179,27,55,262,gop,291.700012,6.6
1987,April,24,46,179,27,55,262,gop,288.359985,6.3
1987,May,24,46,179,27,55,262,gop,290.100006,6.3
1987,June,24,46,179,27,55,262,gop,304,6.2
1987,July,24,46,179,27,55,262,gop,318.660004,6.1
1987,August,24,46,179,27,55,262,gop,329.799988,6
1987,September,24,46,179,27,55,262,gop,321.829987,5.9
1987,October,24,46,179,27,55,262,gop,251.789993,6
1987,November,24,46,179,27,55,262,gop,230.300003,5.8
